1633824000000,3574.83000000,3575.27000000,3563.63000000,3567.09000000,3415.31400000,1633824299999,12190699.69759300,7702,1895.59570000,6766232.34622500,0
1633824300000,3567.09000000,3570.70000000,3562.51000000,3569.43000000,1833.75350000,1633824599999,6540210.22504200,5965,942.98720000,3363409.90881700,0
1633824600000,3569.42000000,3571.45000000,3562.29000000,3569.26000000,1731.20680000,1633824899999,6172640.70180500,5316,974.32290000,3473916.52501600,0
1633824900000,3569.34000000,3580.87000000,3566.14000000,3580.39000000,1355.82250000,1633825199999,4846080.39539500,4133,625.75440000,2236692.84118400,0
1633825200000,3580.40000000,3585.65000000,3578.30000000,3582.79000000,1240.22350000,1633825499999,4442278.65035500,4270,587.71690000,2105100.00227500,0
1633825500000,3582.79000000,3585.57000000,3576.09000000,3582.25000000,1960.04250000,1633825799999,7019724.10087100,5855,929.58330000,3329139.22762300,0
1633825800000,3582.25000000,3585.55000000,3578.71000000,3579.99000000,1417.03120000,1633826099999,5075626.79602000,4953,735.30700000,2633746.44694300,0
1633826100000,3580.00000000,3581.25000000,3571.57000000,3571.71000000,1431.23580000,1633826399999,5118712.75528200,5059,682.42740000,2440717.01329000,0
1633826400000,3571.70000000,3578.34000000,3570.56000000,3576.42000000,1569.87140000,1633826699999,5610331.41093700,5467,841.23410000,3006336.82506100,0
1633826700000,3576.43000000,3577.18000000,3568.81000000,3569.25000000,1353.23260000,1633826999999,4836220.03793000,4232,676.19690000,2416695.84036500,0
1633827000000,3569.25000000,3573.34000000,3563.95000000,3566.00000000,1571.86180000,1633827299999,5608275.56437500,4536,698.97400000,2493934.30103900,0
1633827300000,3565.99000000,3573.43000000,3565.31000000,3567.57000000,1522.24310000,1633827599999,5433666.38962200,5389,762.66240000,2722273.92502700,0
1633827600000,3567.58000000,3570.88000000,3555.00000000,3556.55000000,2403.35920000,1633827899999,8561907.34092200,7827,972.85760000,3466002.76159900,0
1633827900000,3556.55000000,3557.94000000,3544.00000000,3547.08000000,3764.75530000,1633828199999,13365336.69462500,11170,1365.35660000,4847375.53617900,0
1633828200000,3547.09000000,3551.88000000,3539.00000000,3549.30000000,3209.65990000,1633828499999,11376900.26848900,8121,1771.03850000,6279065.89030500,0
1633828500000,3549.30000000,3549.31000000,3539.62000000,3547.36000000,1700.30140000,1633828799999,6024253.45928400,6012,811.64740000,2875574.66034900,0
1633828800000,3547.47000000,3550.29000000,3540.00000000,3540.78000000,2056.36100000,1633829099999,7290036.11244900,7009,1138.20860000,4035048.53387300,0
1633829100000,3540.78000000,3540.78000000,3480.00000000,3516.50000000,19280.94850000,1633829399999,67566922.06397200,58342,7607.28250000,26654695.14473000,0
1633829400000,3515.88000000,3516.50000000,3497.27000000,3502.05000000,4872.64740000,1633829699999,17083927.58586600,12214,2229.43150000,7815395.09517100,0
1633829700000,3502.06000000,3513.14000000,3498.50000000,3510.46000000,2578.07050000,1633829999999,9036729.75508000,8150,1342.50990000,4706666.11068300,0
1633830000000,3510.46000000,3512.16000000,3501.62000000,3503.43000000,2370.56030000,1633830299999,8316153.80217300,8335,1169.85980000,4104079.84024100,0
1633830300000,3503.86000000,3509.87000000,3502.86000000,3505.09000000,2159.74490000,1633830599999,7571821.75425100,7944,1119.31100000,3924065.57400300,0
1633830600000,3505.08000000,3514.53000000,3504.94000000,3511.28000000,2615.14040000,1633830899999,9177413.61815600,8381,1613.00930000,5660722.30125200,0
1633830900000,3511.29000000,3511.97000000,3505.26000000,3505.28000000,2055.84210000,1633831199999,7213659.85396100,7976,861.23340000,3021706.08409000,0
1633831200000,3505.28000000,3505.43000000,3485.60000000,3499.93000000,4350.02840000,1633831499999,15205530.02045300,10321,2118.16280000,7403427.92881900,0
1633831500000,3499.93000000,3517.27000000,3499.45000000,3515.04000000,2511.38280000,1633831799999,8812943.45721100,7755,1455.71300000,5109975.70309500,0
1633831800000,3514.77000000,3522.24000000,3510.72000000,3516.00000000,2274.03940000,1633832099999,7995516.54138900,6826,1257.61270000,4421617.83461500,0
1633832100000,3516.00000000,3517.23000000,3511.12000000,3515.63000000,2028.22960000,1633832399999,7128127.78249200,6264,1056.13960000,3711842.39527100,0
1633832400000,3515.63000000,3517.31000000,3510.01000000,3510.30000000,1674.37070000,1633832699999,5882527.43673300,5816,841.86030000,2957724.36524700,0
1633832700000,3510.30000000,3513.76000000,3505.00000000,3512.84000000,1557.15050000,1633832999999,5463578.42456600,5777,738.02190000,2589550.18165600,0
1633833000000,3512.83000000,3517.36000000,3510.33000000,3515.79000000,1325.09480000,1633833299999,4655109.93673400,5258,745.10110000,2617708.22506200,0
1633833300000,3515.61000000,3517.36000000,3506.51000000,3512.53000000,2015.85650000,1633833599999,7078725.56387100,5329,913.43820000,3207307.03563000,0
1633833600000,3512.53000000,3525.27000000,3511.44000000,3522.51000000,1924.59570000,1633833899999,6774040.31907400,7212,1106.63620000,3895432.54044900,0
1633833900000,3522.52000000,3524.67000000,3515.28000000,3518.69000000,1922.65010000,1633834199999,6767973.53762700,5711,804.66510000,2832901.38191200,0
1633834200000,3518.69000000,3531.40000000,3518.01000000,3530.00000000,2302.76930000,1633834499999,8115563.98384700,6470,1305.27050000,4600545.88765600,0
1633834500000,3530.00000000,3531.84000000,3525.82000000,3526.45000000,3332.21740000,1633834799999,11761125.79226100,7677,1234.70150000,4357565.34117000,0
1633834800000,3526.45000000,3528.17000000,3523.17000000,3523.40000000,1553.45680000,1633835099999,5476868.35763800,5185,790.70720000,2787710.99436800,0
